epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.0273,4.52037,0.03462,0.13205,4.25528,3.98367e-05,3.98367e-05,3.98367e-05
2,47.4177,3.96029,0.28462,0.53205,3.41659,7.65185e-05,7.65185e-05,7.65185e-05
3,72.427,3.06816,0.7,0.89744,1.98398,0.000109174,0.000109174,0.000109174
4,99.0654,2.10717,0.8859,0.98205,1.11359,0.000103883,0.000103883,0.000103883
5,125.715,1.36529,0.95128,0.99872,0.60263,9.7844e-05,9.7844e-05,9.7844e-05
6,152.672,0.91854,0.97179,0.99872,0.33839,9.1805e-05,9.1805e-05,9.1805e-05
7,179.828,0.66678,0.97949,0.99872,0.20283,8.5766e-05,8.5766e-05,8.5766e-05
8,202.922,0.49328,0.97821,0.99872,0.16231,7.9727e-05,7.9727e-05,7.9727e-05
9,223.511,0.43785,0.98205,1,0.11661,7.3688e-05,7.3688e-05,7.3688e-05
10,250.03,0.35593,0.98462,1,0.10582,6.7649e-05,6.7649e-05,6.7649e-05
11,278.389,0.329,0.98974,1,0.07804,6.161e-05,6.161e-05,6.161e-05
12,304.068,0.28394,0.9859,1,0.08558,5.5571e-05,5.5571e-05,5.5571e-05
13,323.375,0.26023,0.98205,1,0.0729,4.9532e-05,4.9532e-05,4.9532e-05
14,342.609,0.24971,0.98462,1,0.06547,4.3493e-05,4.3493e-05,4.3493e-05
15,363.962,0.25232,0.98205,1,0.06841,3.7454e-05,3.7454e-05,3.7454e-05
16,406.648,0.22426,0.98462,1,0.05675,3.1415e-05,3.1415e-05,3.1415e-05
17,428.675,0.21776,0.98333,1,0.05233,2.5376e-05,2.5376e-05,2.5376e-05
18,448.707,0.20807,0.98462,1,0.05044,1.9337e-05,1.9337e-05,1.9337e-05
19,466.195,0.21577,0.9859,1,0.05042,1.3298e-05,1.3298e-05,1.3298e-05
20,485.164,0.19789,0.9859,1,0.06269,7.259e-06,7.259e-06,7.259e-06
